misura,data,latitudine,longitudine,altezza,angolo_sole,al_sole,mag_x,mag_y,mag_z
139,2020-04-11 04:32:38,-24.569222222222223,30.780277777777776,429473.21875,4.449035388071389,True,-29.93982315063477,-5.67103385925293,36.080650329589844
140,2020-04-11 04:32:39,-24.52211111111111,30.824416666666668,429454.28125,4.499840896438882,True,-29.863779067993164,-5.615344524383545,36.35611343383789
141,2020-04-11 04:32:41,-24.427805555555558,30.91258333333333,429416.46875,4.601516799970985,True,-29.94938087463379,-5.606548309326172,36.07450485229492
142,2020-04-11 04:32:42,-24.38061111111111,30.95663888888889,429397.5625,4.652386341361948,True,-29.80898666381836,-5.636940956115723,36.03609085083008
143,2020-04-11 04:32:43,-24.333416666666665,31.00063888888889,429378.65625,4.7032780808677135,True,-29.83123016357422,-5.681656360626222,35.94560241699219
144,2020-04-11 04:32:44,-24.286222222222225,31.044583333333335,429359.75,4.754188603393695,True,-29.815753936767575,-5.594366550445557,36.01262283325195
145,2020-04-11 04:32:45,-24.239,31.088527777777777,429340.875,4.8051200433740116,True,-29.75343894958496,-5.711490154266357,36.149452209472656
146,2020-04-11 04:32:46,-24.191777777777776,31.132416666666668,429322.0,4.856068985714074,True,-29.77800941467285,-5.623132705688477,36.05366516113281
147,2020-04-11 04:32:47,-24.1445,31.17627777777778,429303.125,4.907037991734826,True,-29.98306655883789,-5.62397050857544,36.283348083496094
148,2020-04-11 04:32:48,-24.09725,31.22008333333333,429284.25,4.95802663454944,True,-29.987506866455078,-5.485546588897705,36.29867935180664
149,2020-04-11 04:32:49,-24.049972222222223,31.26386111111111,429265.375,5.009031072176509,True,-29.408416748046875,-5.37201452255249,36.31602478027344
150,2020-04-11 04:32:50,-24.002666666666666,31.30761111111111,429246.53125,5.060053865936975,True,-28.87234687805176,-5.378744602203369,36.55286026000977
151,2020-04-11 04:32:51,-23.95536111111111,31.351333333333336,429227.6875,5.111095015830832,True,-28.989635467529297,-5.409496784210205,36.578041076660156
152,2020-04-11 04:32:52,-23.908027777777775,31.395027777777777,429208.84375,5.162150252989855,True,-29.18319702148437,-5.488583564758301,36.4630126953125
153,2020-04-11 04:32:53,-23.860666666666667,31.438666666666666,429190.0,5.213222992508626,True,-29.33219146728516,-5.4671711921691895,36.295841217041016
154,2020-04-11 04:32:54,-23.813333333333333,31.482277777777774,429171.1875,5.264312380613498,True,-29.288684844970703,-5.436345100402832,36.43355941772461
155,2020-04-11 04:32:55,-23.765944444444443,31.52586111111111,429152.34375,5.3154175635308265,True,-29.48779296875,-5.503463268280028,36.34286880493164
156,2020-04-11 04:32:57,-23.671166666666668,31.61288888888889,429114.75,5.417671898708264,True,-29.449058532714844,-5.6614131927490225,36.25132751464844
157,2020-04-11 04:32:58,-23.62375,31.65636111111111,429095.9375,5.468819770307904,True,-29.35480880737305,-5.654236793518066,36.43342208862305
158,2020-04-11 04:32:59,-23.576305555555557,31.699805555555557,429077.15625,5.519982156059531,True,-29.561119079589844,-5.582059860229492,36.46549987792969
159,2020-04-11 04:33:00,-23.52886111111111,31.743222222222222,429058.375,5.571158629076321,True,-29.49901390075684,-5.623079299926758,36.381813049316406
160,2020-04-11 04:33:01,-23.481416666666664,31.786583333333336,429039.59375,5.622351750679213,True,-29.55900001525879,-5.659273624420166,36.10200500488281
161,2020-04-11 04:33:02,-23.43391666666667,31.829916666666666,429020.8125,5.6735551175658605,True,-29.60876846313477,-5.948230743408202,36.1331787109375
162,2020-04-11 04:33:03,-23.386444444444443,31.87322222222222,429002.0625,5.724770864170378,True,-29.71412467956543,-5.867869377136231,35.95824432373047
163,2020-04-11 04:33:04,-23.338944444444444,31.91647222222222,428983.3125,5.775999417379588,True,-29.97285270690918,-5.8575358390808105,35.861183166503906
164,2020-04-11 04:33:05,-23.291416666666667,31.959722222222222,428964.5625,5.827242911627608,True,-29.955677032470703,-5.908883094787598,35.78475952148437
165,2020-04-11 04:33:06,-23.24388888888889,32.002916666666664,428945.84375,5.878494943612092,True,-29.799245834350586,-5.834068775177003,35.8456916809082
166,2020-04-11 04:33:07,-23.196333333333335,32.04608333333333,428927.09375,5.929761489748563,True,-29.78655433654785,-5.9191346168518075,35.90335464477539
167,2020-04-11 04:33:08,-23.148777777777777,32.089222222222226,428908.375,5.981035719847847,True,-29.86614990234375,-5.8789544105529785,35.9959716796875
168,2020-04-11 04:33:09,-23.101194444444445,32.132305555555554,428889.6875,6.03232318343865,True,-29.93499183654785,-5.69986629486084,35.959083557128906
169,2020-04-11 04:33:10,-23.053611111111113,32.17538888888889,428870.96875,6.083624307407793,True,-30.57464408874512,-5.678229808807372,36.09235382080078
170,2020-04-11 04:33:12,-22.958388888888887,32.26141666666667,428833.59375,6.186252595442289,True,-30.47621726989746,-5.568132400512695,36.13139724731445
171,2020-04-11 04:33:13,-22.91075,32.304361111111106,428814.90625,6.237582320828581,True,-30.2233829498291,-5.668199062347412,36.04875564575195
172,2020-04-11 04:33:14,-22.863111111111113,32.34730555555556,428796.25,6.288921010838159,True,-30.08608818054199,-5.533432960510254,36.070106506347656
173,2020-04-11 04:33:15,-22.815444444444445,32.39019444444445,428777.5625,6.340270799905138,True,-30.14440727233887,-5.614303588867188,35.933021545410156
174,2020-04-11 04:33:16,-22.767777777777777,32.433055555555555,428758.90625,6.391629126708579,True,-29.3889274597168,-5.53798770904541,35.66168975830078
175,2020-04-11 04:33:17,-22.72008333333333,32.47588888888889,428740.28125,6.4429951374748375,True,-30.15868949890137,-5.390172958374023,35.7078857421875
176,2020-04-11 04:33:18,-22.67238888888889,32.51869444444444,428721.625,6.494372247298496,True,-30.117908477783203,-5.586001396179199,35.81806564331055
177,2020-04-11 04:33:19,-22.624666666666666,32.56147222222222,428703.0,6.545759175519088,True,-30.02198982238769,-5.810870170593263,35.797386169433594
178,2020-04-11 04:33:20,-22.576916666666666,32.604194444444445,428684.40625,6.597150372607909,True,-29.94441223144531,-5.782485961914063,35.8519287109375
179,2020-04-11 04:33:21,-22.529194444444443,32.64691666666667,428665.78125,6.648553949414603,True,-30.12666893005371,-5.8125834465026855,35.895137786865234
180,2020-04-11 04:33:22,-22.481416666666664,32.68958333333333,428647.1875,6.699964356410465,True,-30.255096435546875,-5.763352394104004,35.83340835571289
181,2020-04-11 04:33:23,-22.433666666666667,32.73222222222223,428628.59375,6.751380739821851,True,-30.07299423217773,-5.7222347259521475,35.70896530151367
182,2020-04-11 04:33:24,-22.38586111111111,32.77483333333333,428610.0,6.802806087856522,True,-30.00247001647949,-5.744563579559326,35.596290588378906
183,2020-04-11 04:33:25,-22.338083333333334,32.81738888888889,428591.4375,6.854239546740836,True,-29.97492218017578,-5.840524196624756,35.38444137573242
184,2020-04-11 04:33:27,-22.242444444444445,32.90244444444444,428554.3125,6.957125674416499,True,-30.017757415771484,-5.861361026763916,35.652767181396484
